#name	period	DM	DEC	dtd	dnud	taud	dist	w50	weff	uscale	S_1000	spindex	sig_jitter
J2317+1439	0.003445251072219077	21.898938	14.657718648889873	929.0	0.016079999999999997	0.011479999999999999	0.8268	152.22701083682438	376.4841387813601	5.547258966236616	0.959838222827244	-2.3181408168859847	25.243741839120982
J1327+3423	0.041512709726315794	4.183768	34.393789008416675	3512.0	0.39899999999999997	0.00046280000000000003	0.4763	712.1580285762986	4156.598483161852	6.678596055929187	0.826834587684146	-1.67880705728968	448.6595580030682
J2234+0944	0.003627027895267067	17.831988	9.74131092601836	778.2	0.009288	0.019880000000000002	1.0045	233.1937525031713	549.9267109179458	3.6198637492800336	1.2704368894976776	-0.7412533858663019	40.146719782846276
J1745+1017	0.0026521296299683553	23.971116000000002	10.297922533333333	553.9	0.0037579999999999996	0.04912	1.2577	269.86013945038087	343.05281172139837	5.057609872235724	1.0766514097897897	-1.1958185584778889	170.01188785373998
J1640+2224	0.003163315818801697	18.427823	22.403916756275887	635.1	0.005354	0.03449	1.1607	220.35143555043584	465.0740662002172	6.2356346956364535	1.0873745755002406	-2.025733689222493	27.878013459439543
J1911+1347	0.0046259624708794465	30.981503999999997	13.793079004743594	911.8	0.006188	0.02983	2.0699	88.74355803863692	463.4842844120729	5.513427324715887	1.1671319236098356	-1.3542112400003126	38.271172166421984
J0610-2100	0.003861324704298625	60.6662	-21.007782166666665	380.3	0.0006276000000000001	0.2942	3.5504	185.72433072891792	577.4169724570156	4.709080687123412	1.3222365893933763	-1.456422452225444	117.00632835921827
J1832-0836	0.002719112020821852	28.193302000000003	-8.614900970315334	354.8	0.0017430000000000002	0.1059	1.1124	47.811995766800344	188.3800258749348	3.0613748766488182	2.2051546346605804	-2.233696693467348	57.31308440796132
J1803+1358	0.0015236748460567384	59.156268999999995	13.972625610583336	290.7	0.000484	0.3814	2.6897	94.35554973714115	175.99282702438512	2.9300533644620206	1.037126954159284	-3.063273897135212	59.443996334398925
J0340+4130	0.003299339366491248	49.575848	41.51021448014493	265.8	0.0006286000000000001	0.2937	1.7317	213.02325001831608	513.2196815455094	5.113380444383218	1.0100441473898387	-1.8610158921183624	265.03666846306703
J1730-2304	0.008122797920142684	9.61634	-23.07533494694445	825.7	0.0199	0.009277	0.5278	372.19876950823095	884.8046165972928	5.31329527584553	6.004964001545845	-1.9554770437621816	234.4852247901855
J0023+0923	0.003050203104480077	14.326224	9.389438056132088	746.9	0.01252	0.01475	0.6867	200.95602335961203	430.1714266595822	5.626476933275863	0.6129922133312232	-1.6655730185661424	8.156971902426132
J1012-4235	0.003101141245618947	71.66299815345779	-42.59817646666667	228.5	0.00032040000000000004	0.5761	2.5106	147.20245375690197	463.8562466983601	6.103655670502154	0.5991970582331816	-0.3647062158422647	92.73754586684824
J0613-0200	0.0030618440409622503	38.777469	-2.0126818112952685	460.1	0.0019100000000000002	0.09668	1.7077	273.6577783886198	331.91720527703825	4.674579663820217	4.277924112440076	-2.017226475321474	47.011806625268896
J1747-4036	0.0016456096144920427	152.95643700000002	-40.61572035805187	53.72	1.321e-05	13.98	3.3654	98.21884778031826	277.4527643433618	2.183813357367076	3.968875040780162	-2.7186453255532834	957.2808533002568
J1012+5307	0.005255749020909399	9.021445	53.1212615161353	830.6	0.02584	0.007145	0.4113	584.0549171069935	637.3076252020238	3.6807325390546266	5.149079093248995	-1.5272828748547915	26.043546412290603
J1125+7819	0.0042016091181073904	11.217125999999999	78.33565319164619	1018.0	0.025240000000000002	0.007314	0.6328	480.8255475631568	659.9272946054152	5.416208838214433	1.6145035356025634	-1.97745016347338	124.66785739647949
B1953+29	0.006133166515552136	104.500361	29.14483441733943	198.5	0.0001308	1.411	4.6407	224.2540693304477	824.3867256651724	3.3459827683208503	1.7324616794930965	-2.0471388886909416	330.3819930946413
J1811-2405	0.002660593275582203	60.62303299999999	-24.088433411305555	102.9	9.191e-05	2.009	1.7736	109.37726142277964	312.2907302077325	2.5395083192537267	2.92229379869645	-1.8845950882441789	68.90767469635118
J1751-2857	0.0039148731963689655	42.808	-28.962916666666665	185.8	0.0004813	0.3836	1.1047	132.4716803685552	545.4054206997806	6.1800270227660175	1.4138394825546985	-2.2194598134151833	83.4571586321898
J2033+1734	0.005948957540328553	25.087691	17.582466548082053	1168.0	0.01051	0.01757	2.0004	230.7967369605447	861.432654548649	5.400404743488102	0.6260323212737652	-1.9944617485830969	380.9683779138874
J1843-1113	0.0018456662924245528	59.96	-11.225292222222222	139.3	0.0001766	1.046	1.6943	66.32120797994047	253.21766621354752	5.8218502745017195	1.1168140577300756	-1.7490769738048202	41.7823610273625
J2234+0611	0.003576581631913763	10.769483000000001	6.191186681972486	1340.0	0.04063	0.004543999999999999	0.6809	89.79077095941183	397.1986709435946	6.33888212946217	0.4433765403010781	-0.877715010396294	19.625042091363312
J2302+4442	0.005192324648427926	13.724998999999999	44.70272145013123	1683.0	0.03705	0.004983	1.1779	344.2931645782412	645.9888101692648	2.2357569113076776	2.453237331355985	-1.5019557909592385	270.74211503419383
J1909-3744	0.002947108024481875	10.391601	-37.736554205642975	774.2	0.0202	0.009139	0.4572	41.03733074429064	260.6734339078041	7.332065596166241	1.9627258785566213	-1.9162813123545903	12.574177566189126
J1802-2124	0.012647593586522718	149.6258	-21.40101361111111	20.96	2.3069999999999997e-06	80.02	2.9330000000000003	170.09911225181924	985.577070514202	7.724608387609477	2.242082782747137	-2.3996192247305146	107.16244071864612
J1630+3734	0.003318112129396789	14.126382999999999	37.57836035733335	802.2	0.01059	0.01743	0.9359999999999999	94.15251511300079	243.05412511685736	2.258316776774513	1.0368327815900795	-1.830728043420768	59.3160845211905
B1937+21	0.0015578065398454445	71.021847	21.58291420382123	220.7	0.0002126	0.8682	3.528	37.00697552425944	144.8672621915209	3.636744919468459	39.58038766327567	-3.1272027872980552	16.994900550095466
J0125-2327	0.003675374884461769	9.592162	-23.45227083413889	911.9	0.029439999999999997	0.006271	0.4352	115.61201417165731	468.6424471045828	5.698839713237616	2.8094962519386955	-0.3827568305651894	72.8355689281441
J1910+1256	0.0049835839423470465	38.071006	12.940630249941485	746.6	0.0037	0.0499	2.3214	132.76721352118068	633.9257405728539	6.226951399635638	0.98	-1.66	84.30715510757324
J1946+3417	0.003170139178856516	110.20933500000001	34.28741346758333	219.9	0.00014460000000000002	1.2770000000000001	5.1553	221.27802113746398	478.3012882309182	4.410643297069184	1.408074706094138	-1.3302251466158934	197.5645413154269
J1643-1224	0.004621641454600057	62.404720999999995	-12.416491104381025	232.7	0.00034500000000000004	0.5351	2.4172	314.5816846992292	976.506680060882	5.155171997916081	8.643907541474444	-1.8426112327950133	25.896318202881236
J1455-3330	0.00798720480610433	13.56877	-33.51517225331861	1057.0	0.03257	0.0056689999999999996	0.5286	207.1881669000282	996.9037443113074	5.517231218898765	1.4810740844716788	-1.793576179378875	101.22853398864058
J0614-3329	0.003148669579289145	37.049	-33.49836434511667	568.7	0.002621	0.07044	1.9011	76.90879128103741	293.1517343605292	4.762731206800424	1.4893762435140363	-1.4317348069204676	48.45253850705357
J2229+2643	0.0029778192957092605	22.728582	26.73085633049477	834.0	0.007439	0.02482	1.4405	437.0408167384529	581.4440559408148	5.399362814519616	0.8623340568553912	-2.1380308476336407	113.37517226629015
J2214+3000	0.003119226580973074	22.558742000000002	30.008634772848488	997.7	0.009909	0.01863	1.5476	181.03965514086292	562.6802863628526	4.355899146538277	0.39	0.0	103.35942583649796
J1614-2230	0.003150807655461177	34.487811	-22.5096009955802	296.4	0.001061	0.1739	1.2753	83.97966686433855	395.4886786994577	4.080913770431671	1.883198687866156	-1.5979374297292224	64.95327590892738
J1022+1001	0.016452929683202652	10.245999999999999	10.032450540644485	808.7	0.02239	0.008244	0.4499	704.1148934877792	1390.0550147832807	6.204022421204416	6.124035125057856	-1.0786983698332917	126.32711484683773
J1738+0333	0.005850095772523701	33.769563	3.5535266664263725	370.3	0.0014789999999999998	0.1248	1.4285	120.47716700357869	642.8164662612917	5.090984124903351	0.6965071748410028	-0.3941458546786447	31.443309197405505
J1600-3053	0.003597928455004783	52.324102	-30.89857982145381	188.8	0.00033600000000000004	0.5495	1.6341	70.17163405756122	424.57996519188094	6.194993371032567	2.931021757268649	-0.5449277105081444	26.239171930102138
J1911-1114	0.00363	31.0	-11.23333333	368.1	0.001708	0.1081	1.2221	180.0	559.54928736	18.945312833333332	1.3	-2.9	113.4
J0437-4715	0.00576	2.641619	-47.25	1283.0	0.1864	0.0009906	0.1361	141.0	623.83477	38.37700085	210.0	-1.0	88.83
