#freq (MHz),Tsys (Average; K),gain (Average; K/Jy)
3571.679688,47.9905721,1.538977271
3570.214844,47.64642898,1.552021479
3568.75,47.32316739,1.564300607
3567.285156,47.14992238,1.5783373
3565.820313,46.97411919,1.591660079
3564.355469,46.79641734,1.601564651
3562.890625,46.79194784,1.613844747
3561.425781,46.71610754,1.619573554
3559.960938,46.70897838,1.624884391
3558.496094,46.40920025,1.618838422
3557.03125,45.99124108,1.611295279
3555.566406,45.64412976,1.60560875
3554.101563,45.35651058,1.596356164
3552.636719,44.97415418,1.578890718
3551.171875,44.51425923,1.560032271
3549.707031,44.00073957,1.539218944
3548.242188,43.53540914,1.520767783
3546.777344,43.05944301,1.502658606
3545.3125,42.54084273,1.483115626
3543.847656,42.1358986,1.46485479
3542.382813,41.6866277,1.445281505
3540.917969,41.21312108,1.425580341
3539.453125,40.80882325,1.408163102
3537.988281,40.39175287,1.389110771
3536.523438,40.02961925,1.37390166
3535.058594,39.72606612,1.359256554
3533.59375,39.52215652,1.346904024
3532.128906,39.35141835,1.335917283
3530.664063,39.2622927,1.327776143
3529.199219,39.20178432,1.320653078
3527.734375,39.16832452,1.312788368
3526.269531,39.18248523,1.306316326
3524.804688,39.11111743,1.301302272
3523.339844,39.17648247,1.301230332
3521.875,39.2068395,1.302481087
3520.410156,39.42966297,1.309232855
3518.945313,39.61350869,1.318229007
3517.480469,39.84856617,1.33118061
3516.015625,39.94676167,1.344350344
3514.550781,40.02967168,1.360079413
3513.085938,40.06268109,1.379036781
3511.621094,40.14432343,1.397861044
3510.15625,40.2052332,1.417439732
3508.691406,40.22148725,1.438915013
3507.226563,40.42542187,1.464829193
3505.761719,40.45869247,1.486979164
3504.296875,40.40124455,1.511082951
3502.832031,40.18194411,1.533950322
3501.367188,40.23606891,1.556212319
3499.902344,39.94947432,1.576690179
3498.4375,39.66982842,1.597449579
3496.972656,39.50414159,1.619570226
3495.507813,39.3882466,1.638755158
3494.042969,39.30925253,1.656093173
3492.578125,39.29723328,1.671155795
3491.113281,39.33768308,1.685936791
3489.648438,39.36876115,1.697779343
3488.183594,39.38746563,1.706159421
3486.71875,39.38570722,1.712394583
3485.253906,39.43359176,1.718661472
3483.789063,39.46500676,1.723384983
3482.324219,39.5126849,1.727615713
3480.859375,39.54293267,1.731973328
3479.394531,39.52399559,1.733282188
3477.929688,39.42720934,1.731309001
3476.464844,39.35039215,1.728533405
3475,39.07568325,1.723075273
3473.535156,38.80097434,1.717617141
3472.070313,38.48856107,1.7110428
3470.605469,38.14880183,1.702150803
3469.140625,37.87956941,1.696146996
3467.675781,37.62034589,1.689823806
3466.210938,37.34567636,1.683334967
3464.746094,37.09283703,1.676339674
3463.28125,36.85894138,1.669096495
