# GBT UWBR with no RFI - Ryan Lynch 6/2/23
#freq	Trx	G	eps
1.579492188	40.29359406	2.409605369	0.01
1.580957031	40.41024025	2.431793283	0.01
1.582421875	40.52688644	2.453981198	0.01
1.583886719	39.98974664	2.47981172	0.01
1.585351563	39.93882966	2.477585981	0.01
1.586816406	40.13645374	2.459227212	0.01
1.58828125	39.89079086	2.428662004	0.01
1.589746094	39.64512798	2.398096796	0.01
1.591210938	39.39946511	2.367531589	0.01
1.592675781	39.15380223	2.336966381	0.01
1.594140625	38.90813935	2.306401173	0.01
1.595605469	38.66247648	2.275835965	0.01
1.597070313	38.4168136	2.245270757	0.01
1.598535156	38.17115072	2.21470555	0.01
1.6	37.92548785	2.184140342	0.01
1.601464844	37.67982497	2.153575134	0.01
1.602929688	37.43416209	2.123009926	0.01
1.604394531	37.18849922	2.092444719	0.01
1.605859375	36.94283634	2.061879511	0.01
1.607324219	36.69717346	2.031314303	0.01
